phenotype,brief_name,var_type,dist_function,default_rank,default_text,category,longitudinal
QRS interval,qrs_val,continuous,gaussian(),,,comorbid,Y
Race,race,categorical,multinomial('identity'),,,demo,
Rales,rales,categorical,multinomial('identity'),,,exam,
Randomization group,rand_group,categorical,multinomial('identity'),,,arm,
RBBB,rbbb,categorical,multinomial('identity'),1,No,comorbid,
Region,region,categorical,multinomial('identity'),,,demo,
Relative wall thickness,rwt,categorical,multinomial('identity'),,,imaging,
Revascularization,revasc,categorical,multinomial('identity'),1,No,procedure,
RV end diastolic area,rveda,categorical,multinomial('identity'),,,imaging,
RV function,rv_function,categorical,multinomial('identity'),,,imaging,
RV function - TOPCAT tertile,rv_function_topcat,categorical,multinomial('identity'),,,imaging,
RV systolic pressure,rvsp,categorical,multinomial('identity'),,,imaging,
RV systolic pressure value,rvsp_val,continuous,gaussian(),,,imaging,Y
S3 gallop,s3,categorical,multinomial('identity'),,,exam,
Septal wall thickness,ivsd,categorical,multinomial('identity'),,,imaging,
Aldosterone value,aldo_val,continuous,gaussian(),,,lab,Y
C-reactive protein value,crp_val,continuous,gaussian(),,,lab,Y
Carboxy-terminal telopeptide of collagen type I value,ictp_val,continuous,gaussian(),,,lab,Y
cGMP value,cgmp_val,continuous,gaussian(),,,lab,Y
Cystatin C value,cystc_val,continuous,gaussian(),,,lab,Y
Endothelin-1 value,et1_val,continuous,gaussian(),,,lab,Y
Galectin-3 value,galec3_val,continuous,gaussian(),,,lab,Y
Pro-collagen III NTP value,piiinp_val,continuous,gaussian(),,,lab,Y
Troponin I,tni,categorical,multinomial('identity'),,,lab,
Troponin I value,tni_val,continuous,gaussian(),,,lab,Y
Uric acid value,uric_val,continuous,gaussian(),,,lab,Y
Sex,sex,categorical,multinomial('identity'),,,demo,
"Six minute walk distance, m",sixmw_dist_m,continuous,gaussian(),,,fun_status,Y
Sodium,sodium,categorical,multinomial('identity'),,,lab,
Sodium value,sodium_val,continuous,gaussian(),,,lab,Y
STICH hypothesis 1,stich_h1,categorical,multinomial('identity'),,,arm,
STICH hypothesis 2,stich_h2,categorical,multinomial('identity'),,,arm,
Stratum,stratum,categorical,multinomial('identity'),,,arm,
Stroke,stroke,categorical,multinomial('identity'),1,No,comorbid,
Systolic blood pressure,sbp,categorical,multinomial('identity'),,,exam,
Systolic blood pressure value,sbp_val,continuous,gaussian(),,,exam,Y
Tobacco use,tob,categorical,multinomial('identity'),1,No,comorbid,
Total bilirubin value,tot_bili,continuous,gaussian(),,,lab,Y
Total cholesterol value,tot_chol,continuous,gaussian(),,,lab,Y
Treatment group,txgroup,categorical,multinomial('identity'),,,arm,
Treatment group 2,txgroup2,categorical,multinomial('identity'),,,arm,
Tricuspid velocity value,tr_val,continuous,gaussian(),,,imaging,Y
Triglyceride value,tg_val,continuous,gaussian(),,,lab,Y
Valvular disease,valvdz,categorical,multinomial('identity'),1,No,comorbid,
Ventricular tachycardia/fibrillation,vtvf,categorical,multinomial('identity'),1,No,comorbid,
VO2 value,vo2,continuous,gaussian(),,,fun_status,Y
"Weight, kg value",weight_kg,continuous,gaussian(),,,exam,Y
Beck Depression Inventory Score,bdi,continuous,gaussian(),,,procedure,Y
Worst symptom,worst_sx,categorical,multinomial('identity'),,,pro,
VAS global,vas_global,continuous,gaussian(),,,pro,Y
Euro mobility,eq5d_mobil,continuous,gaussian(),,,pro,Y
Euro self-care,eq5d_selfcare,continuous,gaussian(),,,pro,Y
Euro activity,eq5d_activity,continuous,gaussian(),,,pro,Y
Euro pain,eq5d_pain,continuous,gaussian(),,,pro,Y
Euro mood,eq5d_mood,continuous,gaussian(),,,pro,Y
VAS dyspnea,vas_dyspnea,continuous,gaussian(),,,pro,Y
KCCQ Overall summary,kccq_overall_sum,continuous,gaussian(),,,pro,Y
KCCQ Clinical summary,kccq_clinical_sum,continuous,gaussian(),,,pro,Y
KCCQ Symptom burden,kccq_sym_burd,continuous,gaussian(),,,pro,Y
KCCQ Quality of life,kccq_qol,continuous,gaussian(),,,pro,Y
KCCQ Total symptom,kccq_tot_sym,continuous,gaussian(),,,pro,Y
KCCQ Physical limitation,kccq_phys_lim,continuous,gaussian(),,,pro,Y
KCCQ Symptom frequency,kccq_sym_freq,continuous,gaussian(),,,pro,Y
KCCQ Self efficacy,kccq_self_eff,continuous,gaussian(),,,pro,Y
KCCQ Symptom stability,kccq_sym_stab,continuous,gaussian(),,,pro,Y
MLHF total,mlhf_total,continuous,gaussian(),,,pro,Y
MLHF physical,mlhf_physical,continuous,gaussian(),,,pro,Y
MLHF emotional,mlhf_emotional,continuous,gaussian(),,,pro,Y
Daily IO balance,io_balance,continuous,gaussian(),,,exam,Y
Cumulative IO balance,io_cum,continuous,gaussian(),,,exam,Y
Preeclampsia/toxemia,preeclampsia,categorical,multinomial('identity'),,,comorbid,N
Right atrial pressure,rap,continuous,gaussian(),,,exam,Y
Pulmonary capillary wedge pressure,pcwp,continuous,gaussian(),,,exam,Y
Mean pulmonary artery pressure,pa_mean,continuous,gaussian(),,,exam,Y
Pulmonary vascular resistance,pvr,continuous,gaussian(),,,exam,Y
Systemic vascular resistance,svr,continuous,gaussian(),,,exam,Y
Mixed venous oxygen saturation,svo2,continuous,gaussian(),,,exam,Y
Pulmonary artery diastolic pressure,pa_diastolic,continuous,gaussian(),,,exam,Y
Pulmonary artery systolic pressure,pa_systolic,continuous,gaussian(),,,exam,Y
Cardiac index,cardiac_index,continuous,gaussian(),,,exam,Y
Cardiac output,cardiac_output,continuous,gaussian(),,,exam,Y
VE/VCO2 value,ve_vco2,continuous,gaussian(),,,exam,Y
Thoracic fluid content,tfc,continuous,gaussian(),,,exam,Y
Thoracic fluid index,tfi,continuous,gaussian(),,,exam,Y
Left cardiac work,lcw,continuous,gaussian(),,,exam,Y
Left cardiac work index,lcwi,continuous,gaussian(),,,exam,Y
Fatigue for congestion score,fatigue_ccs,continuous,gaussian(),,,pro,Y
Dyspnea for congestion score,dyspnea_ccs,continuous,gaussian(),,,pro,Y
Rales for congestion score,rales_ccs,continuous,gaussian(),,,exam,Y
Edema for congestion score,edema_ccs,continuous,gaussian(),,,exam,Y
