out_column,out_abbreviation,out_long
kccq_self_eff_delta_12w,"KCCQ self efficacy, bl to 12w","KCCQ self efficacy, baseline  to 12w"
kccq_self_eff_delta_52w,"KCCQ self efficacy, bl to 52w","KCCQ self efficacy, baseline  to 52w"
kccq_self_eff_delta_final,"KCCQ self efficacy, bl to final","KCCQ self efficacy, baseline  to final"
kccq_qol_delta_12w,"KCCQ qual life, bl to 12w","KCCQ quality of life, baseline  to 12w"
kccq_qol_delta_52w,"KCCQ qual life, bl to 52w","KCCQ quality of life, baseline  to 52w"
kccq_qol_delta_final,"KCCQ qual life, bl to final","KCCQ quality of life, baseline  to final"
kccq_soc_lim_delta_12w,"KCCQ social limits, bl to 12w","KCCQ social limits, baseline  to 12w"
kccq_soc_lim_delta_52w,"KCCQ social limits, bl to 52w","KCCQ social limits, baseline  to 52w"
kccq_soc_lim_delta_final,"KCCQ social limits, bl to final","KCCQ social limits, baseline  to final"
lipid,HLD,Hyperlipidemia
sodium,Sodium,"Sodium, mEq/dL"
